tip_label	accession	name	molecule	resolved_via	ncbi_taxid	vmr_match	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	ictv_id
Faba_bean_necrotic_yellows_virus_Egypt		Faba bean necrotic yellows virus Egypt	nt	none		False																
Faba_bean_necrotic_yellows_virus_Sy4		Faba bean necrotic yellows virus Sy4	nt	none		False																
Faba_bean_necrotic_yellows_virus_Mu29D		Faba bean necrotic yellows virus Mu29D	nt	none		False																
Faba_bean_necrotic_yellows_virus_Mor23		Faba bean necrotic yellows virus Mor23	nt	none		False																
Milk_vetch_dwarf_virus_N		Milk vetch dwarf virus N	nt	none		False																
Milk_vetch_dwarf_virus_VU		Milk vetch dwarf virus VU	nt	none		False																
Faba_bean_necrotic_stunt_virus_Ethiopia		Faba bean necrotic stunt virus Ethiopia	nt	none		False																
Faba_bean_necrotic_stunt_virus_isolate_Mor5_concatenated_CMNRS_and_U		Faba bean necrotic stunt virus isolate Mor5 concatenated CMNRS and U	nt	none		False																
Faba_bean_yellow_leaf_virus_concatenated_CMNRS_and_U		Faba bean yellow leaf virus concatenated CMNRS and U	nt	none		False																
Milk_vetch_chlorotic_dwarf_virus_isolate_G53_concatenated_CMNRS_and_U		Milk vetch chlorotic dwarf virus isolate G53 concatenated CMNRS and U	nt	none		False																
Black_medic_leafroll_virus_isolate_AZ47_concatenated_CMNRS_and_U		Black medic leafroll virus isolate AZ47 concatenated CMNRS and U	nt	none		False																
Black_medic_leafroll_virus_isolate_Bjuv_153_concatenated_CMNRS_and_U		Black medic leafroll virus isolate Bjuv 153 concatenated CMNRS and U	nt	none		False																
Black_medic_leafroll_virus_AT3_concatenated_CMNRS_and_U		Black medic leafroll virus AT3 concatenated CMNRS and U	nt	none		False																
Cow_vetch_latent_virus_isolate_Nano_VcLV_Sambuc_2010_concatenated_genome_CMNRS_and_U		Cow vetch latent virus isolate Nano VcLV Sambuc 2010 concatenated genome CMNRS and U	nt	none		False																
Pea_necrotic_yellow_dwarf_virus_concatenated_CMNRS_and_U		Pea necrotic yellow dwarf virus concatenated CMNRS and U	nt	none		False																
Pea_yellow_stunt_virus_concatenated_CMNRS_and_U		Pea yellow stunt virus concatenated CMNRS and U	nt	none		False																
Subterranean_clover_stunt_virus_2534B_CMNRS_and_U		Subterranean clover stunt virus 2534B CMNRS and U	nt	none		False																
Subterranean_clover_stunt_virus_F_concatenated_CMNRS_and_U		Subterranean clover stunt virus F concatenated CMNRS and U	nt	none		False																
Sophora_yellow_stunt_virus_isolate_IR_Soph_17_concatenated_genome_CMNRS_and_U		Sophora yellow stunt virus isolate IR Soph 17 concatenated genome CMNRS and U	nt	none		False																
Parsley_severe_stunt_associated_virus_Pa21_concatenated_genome_CMNRS_and_U		Parsley severe stunt associated virus Pa21 concatenated genome CMNRS and U	nt	none		False																
Parsley_severe_stunt_associated_virus_39Ba_concatenated_no_M_or_U4		Parsley severe stunt associated virus 39Ba concatenated no M or U4	nt	none		False																
Abaca_bunchy_top_virus_Malaysia_concatenated_CMNRS_and_U		Abaca bunchy top virus Malaysia concatenated CMNRS and U	nt	none		False																
Abaca_bunchy_top_virus_isolate_Philippines_concatenated_CMNRS_and_U		Abaca bunchy top virus isolate Philippines concatenated CMNRS and U	nt	none		False																
Banana_bunchy_top_virus_Australia_concatenated_CMNRS_and_U		Banana bunchy top virus Australia concatenated CMNRS and U	nt	none		False																
Banana_bunchy_top_virus_Taiwan_concatenated_CMNRS_and_U		Banana bunchy top virus Taiwan concatenated CMNRS and U	nt	none		False																
Cardamom_bushy_dwarf_virus_Kal_concatenated_CMNRS_and_U		Cardamom bushy dwarf virus Kal concatenated CMNRS and U	nt	none		False																
Cardamom_bushy_dwarf_virus_isolate_PHO2_concanenated_CMNRS_and_U		Cardamom bushy dwarf virus isolate PHO2 concanenated CMNRS and U	nt	none		False																
